,Title,Company,Location,Salary,Summary
638,Chief Operations Officer (coo) - Manufacturing,precision rubber industries,"Mumbai, Maharashtra",0,Tech with work experience of 20 - 25 years in Manufacturing Industry (Preferably in Rubber / Tyre Industry). Meet with customers for product / process / service…
639,Sales officer Distribution,JK TYRE,"Ahmedabad, Gujarat",Nan,"Ensure wider market reach & product penetration in untapped markets, explore ways and methods to sustain and create new avenues to grow the business further…"
640,Database Administrator,Edaliso Global,"Ghansoli, Navi Mumbai, Maharashtra",600000.0,"3 to 5 years of experience. Monitoring Database performance, integrity and security. Involvement into the planning and development of the database, as well as…"
641,IT Project Coordinator,Orbit Techsol India pvt ltd,"Gurgaon, Haryana",0,"Min Graduation or post-graduation in CS, MCA , Btech or equivalent , Should be from IT background. Female candidates will be preferred."
642,Back Office Executive,RateLock Corporates,"Pune, Maharashtra",180000.0,"Collection of data,calling & Client Handling. Back office Work with good marketing Skill."
643,Retail Sales Assistant,Tanishq jewellery,"Ahmedabad, Gujarat",198000.0,"Scope of the role to handle the sales executive in show room, customer focus forecasting avg communication, managing multiple work, fresher can also apply."
644,System Administrator,Technospecs Technologies Inc.,"Mohali, Punjab",500000.0,We are hiring at Technospecs\_Technologies Pvt Ltd for the below profile on an urgent basis!!! System Administrator 2- 5 years of exp.
645,Hiring For Apply Haldi.ram Company,Company Hidden,"Chamba, Himachal Pradesh",426600.0,R Job responsibilities for Haldiam Company supervisor r Lead a team of commissioning activities in projects Interfaces with other disciplines to ensure…
646,Executive,Airtel India,India,Nan,"Here, at the worlds third largest mobile operator, you will be working with the best minds in the business, to deliver solutions that truly enrich the lives of…"
647,Instant Hiring Store Keeper,Pearl HR Solution Hiring For hyundai company,"Dibrugarh, Assam",210000.0,Golden Job Opportunity In Hyundai Motors Company Apply Fresher Exp Candidate Job Opportunity In Hyundai Motors company All India Branch are hiring candidates…
648,AGM/DGM,The E5 Compay (C&L),"Delhi, Delhi",Nan,"Demonstrate a high level of business acumen and thorough understanding of the customer's business, organization, strategy, financial position and propose…"
649,Finance & Account Officer,National Institute of Pharmaceutical Education and...,"Gandhinagar, Gujarat",Nan,The National Institute of Pharmaceutical Education & Research (NIPER) - Ahmedabad inviting Online Application from the eligible and suitable Indian Nationals…
650,Finance Executive,S T Shah & Co,"Ahmedabad, Gujarat",222000.0,Required Male only 3 MBA Finance /Inter CA /Inter ICWA/ Bcom 4 Knowledge of Excel is must. … For B Com -Min 3 Years & Max 6 Years exp. … 2 & 4 Saturday off.
651,Front desk receptionist,Arihannt Diamond Institute,"Surat, Gujarat",180000.0,"Relationship building skills, good communication skill, good personality, to attend the customer, good speech, computer knowledge, to attend customer call, good…"
652,Corporate Finance - Taxation - Team Member,Indus Tower Ltd,India,Nan,Taxation is an important aspect for a large company like Indus Towers having geographic spread across India and leading to tax compliances and reporting under…
653,Fresher project coordinator,Coral Knowledge,"Delhi, Delhi",0,Building excellent relationships with clients and vendors. … Ensuring that the quality of projects is met (content and delivery schedules).
654,Urgent Opening for Executive Assistant to CEO,Ikya Human Capital Solutions Pvt Ltd,"Gurgaon, Haryana",1300000.0,"Strong experience in the arena of executive assistant and secretary shipWorked with CEOs, MD and CMDs of MNC large organizations especially with Expatriate…"
655,Business Promoter,Sunvibe Green Energy,"Jaipur, Rajasthan",420000.0,Go to market and give a presentation to client regarding company 'S products and close your deal. Fresher and experience both can apply.
656,Manual Tester (0 - 1 years),TSS Consultancy Pvt. Ltd.,"Mumbai, Maharashtra",Nan,Prepare a formal document that can self-assist to the customer in testing functionality of System. … Ability to quickly establish good working relationships with…
657,Accoutant Executive,IIPTR Insitute of Dadar,"Mumbai, Maharashtra",300000.0,"If you have any queries,feel free to contact us on 9324286562.*. … 30th ( Friday) and 31st ( Saturday) August at 11:30 Am to 3:30 PM."
658,Freelance Writer,Picknpaper,India,Nan,"Candidates will be responsible for producing quality research papers/dissertations/essays on different subject matters ranging from Finance, Business Strategy…"
659,Coordinator,Sports Gurukul LLP,"Ahmedabad, Gujarat",198000.0,Ensure that the coaches are on time and Manage smooth functioning of the Sports Academy Program. … Coordinator needs to do the sight recee of the venue.
660,PROJECT COORDINATOR,Connecting the Dots,"Bengaluru, Karnataka",Nan,3+ years of experience in project management in an education related organisation or an organisation involved in the social sector.
661,Back Office / Chat Process / Data Entry Operator,Mohit minerals private limited,"Delhi, Delhi",192000.0,We are hiring for Data Operator Clerk. The candidate should have fundamental learning of computer and help together employees on their necessities for job runs…
662,Store Incharge,BHARAT ELECTRICAL CONTRACTORS & MANUFACTURERS,Maharashtra,Nan,Location: Anywhere in Maharashtra Key responsibilities: Staff allocation Work allocation Inspection of Material Arrangement of Transportation Material…
663,CCA- MP,Relaxo Footwear,India,Nan,To attend the customer in the outlet amicably and understand the needs of the customer . To attend the customer queries gracefully and solve the customer…
664,CCA- Indra Nagar,Relaxo Footwear,India,Nan,To attend the customer in the outlet amicably and understand the needs of the customer . To attend the customer queries gracefully and solve the customer…
665,"Urgent Hiring For Bpo, (voice/fresher/day Shift) Gurgoun",Job Pledge Consultants,"Gurgaon, Haryana",228000.0,Urgent Hiring For Fresher Experienced Candidates for Blended Voice Process Min 0-6 months Exp in any BPO is mandatoryDay Shift 5 6 Day Working Salary 15k - 23k…
666,Data Entry Operator,VISHAL MEGA MART PRIVATE LIMITED,"Delhi, Delhi",Nan,"10 AM to 5 PM -Age - 18 year To 28 year Benefits - PF - Medical - Insurance - Training - Cab Facility - Freshers are most welcome - 10th, 12th, Dropouts,…"
667,Job Opening for Sr. Content Writer,Arkenea Technologies Pvt Ltd,"Pune, Maharashtra",480000.0,"Create a variety of content across verticals, such as blog posts, case studies, whitepapers, newsletters, social media snippets."
668,DMPK,Syngene,India,Nan,"Experience in conducting different In vitro assays independently (Ex Solubility using HPLC, Log D, Metabolic stability, PAMPA etc."
669,Data Science Intern,Sankhkyiki Robotics,"Navi Mumbai, Maharashtra",Nan,Work on different exercises on data science and machine learning algorithms. Create projects for the computer vision natural language processing.
670,Admin Executive - Gurgaon,Cartesian Consulting,"Gurgaon, Haryana",Nan,"Ensure efficient day-to-day operation of the office, and support the work of management and other staff. … Assist in day to day operations with HR functions and…"
671,"Hiring For Bpo, Back Office, Data Entry Operator For Fresher...",Company Hidden,"Mumbai, Maharashtra",156000.0,Back Office Needs 10th 12th Pass Freshers When Going For The Interview Please Carry 2 Photo 1 Id Proof 1 Resume And Clear Yourr Hr Interview And Carry You Job…
672,Back Office Executive,Global Solution,"Indore, Madhya Pradesh",138000.0,Job Summary Back Office Executive Responsibilities and Duties handling the work in professional manner Qualifications and Skills Basic computer…
673,Officer – Purchase & Store,MP Birla Hospital & Research Centre,"Chittaurgarh, Rajasthan",250000.0,"Urgently require an experienced Purchase & Store Officer for Multi-Specialty Hospital at Chittorgarh, Rajasthan. … Purchase Planning as per lead-time,."
674,"Representative, Customer Service",APL Logistics,"Mumbai, Maharashtra",Nan,"Aug 28, 2019, 12:40:19 AM. (must be same level of reporting, to be please filled-in by your manager). Revenue billing and Carrier/ Vendor payments."
675,Computer Operator Back Office FresherS,SMART WAY INDIA ENTERPRISES LLP,"Rani Bagh, Delhi, Delhi",222384.0,"Computer Operator Back Office Executive Who's Responsibilities are processing projects, managing databases, performing market research."
676,Accounts Executive,BGI ENGITECH PVT. LTD,"Ahmedabad, Gujarat",162000.0,Knowledge of Manufacturing Unit will be an added advantage. To handle entire day to day accounting activities. To handle Accounts related other matters.
677,Project Coordinator,IHT India,"Delhi, Delhi",360000.0,"Use tools to monitor working hours, plans. Ensure that each and every complaint is taken to a logical conclusion irrespective of the dependency."
678,Driver,Tripura High Court,"Agartala, Tripura",0,Belated and incomplete applications will not be entertained and those will be rejected summarily.FreshersLIVE wishes you all the best.
679,Helpar,Phoenix sea services Pvt ltd,"Ahmedabad, Gujarat",258000.0,".scopen English callas.10th pass Job Type: Full-time Salary: ₹18,000.00 to ₹25,000.00 /month Experience: * work: 1 year (Preferred) * total work: 1 year …"
680,Entry level and Junior Positions in Programs,CHILDLINE India Foundation,India,Nan,Experience in the field of child rights and especially in child protection will be an added qualification. CHILDLINE India Foundation is an equal opportunity…
681,"Helper, Assistant Pointsman",East Central Railway,"Vaishali, Bihar",Nan,FreshersLIVE wishes you all the best. The employee should not be below the age of 38 years as on date of notification. Vaishali Last Date to Apply :
682,Accounts Officer,MRM MERCHANDISER PRIVATE LIMITED,"Kolkata, West Bengal",342000.0,Direct joining in dabur ltd company 9319667462 r post supervisor store keeper store incharge store manager assistant manager abm computer operator accountant…
683,Accounts & Admin Executive,Tejaswi Services,India,Nan,We have an opening for Accounts & Admin Executive. Applicants must be willing to work on long working hours. Accounts & Admin Executive Job Profile involves:
684,Tableau Admin requirement_Pune location,NEC,"Pune, Maharashtra",1050000.0,Experience working as team member for multiple projects and play a major role in collaborating with different teams and help delivery of projects.
685,Tally Operator for Store,BHARAT ELECTRICAL CONTRACTORS & MANUFACTURERS,Maharashtra,Nan,Making GRN's in tally 2.Making all entries regarding material issue to contractors & other projects. Responsible for material quantity as per software and…
686,Courier,FedEx Express MEISA,"Pune, Maharashtra",Nan,"They, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future."
687,Back Office Executive,Fourth Force Surveillance Indo Pvt Ltd,"Ahmedabad, Gujarat",Nan,We are looking for a long term skillful back office executive who can learn and grow rapidly in our organisation. We are looking in these locations:
688,System Admin,Hippocampus Infotech Pvt Ltd,"Bengaluru, Karnataka",Nan,"A Systems Administrator is responsible for the smooth, timely configuration and maintenance of an organisation’s computer systems and works closely with a…"
